VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
Car1	1698757249457	57.3413	-2.96804	-0.723363	0.990744	0.00030749	-0.000684441	0.13574	1	0	0	1	0	1746.9	5.39116	img_Car1__0_1698757249456054700.png
Car1	1698757249533	57.753	-2.85311	-0.723337	0.990743	0.000224084	-0.000781116	0.135749	1	-1	0	1	0	2086.78	5.3252	img_Car1__0_1698757249532614300.png
Car1	1698757249610	58.1395	-2.75278	-0.723376	0.991139	0.00060521	-0.000592312	0.132829	0	-1	0	1	0	2297.31	5.27309	img_Car1__0_1698757249610312900.png
Car1	1698757249693	58.5432	-2.66519	-0.723423	0.992286	0.00157914	-0.000317455	0.123957	0	0	0	1	0	2102.4	5.30897	img_Car1__0_1698757249692755600.png
Car1	1698757249780	58.9743	-2.56446	-0.723461	0.992743	0.00123545	-0.000218165	0.120245	0	0	0	1	0	1803.28	5.25789	img_Car1__0_1698757249779178800.png
Car1	1698757249867	59.4222	-2.45476	-0.723455	0.992768	0.000703972	-0.000299304	0.120047	0	0	0	1	0	1571.64	5.15905	img_Car1__0_1698757249866791700.png
Car1	1698757249954	59.8576	-2.34938	-0.723402	0.992836	0.000506208	-0.000511994	0.119478	0	-1	0	1	0	1398.05	5.01508	img_Car1__0_1698757249953334100.png
Car1	1698757250043	60.2921	-2.26063	-0.723163	0.99362	0.0012055	-0.000662096	0.112769	1	-1	0	1	0	1315.97	4.81405	img_Car1__0_1698757250043156200.png
Car1	1698757250134	60.7168	-2.19413	-0.722907	0.994932	0.0021574	-0.00079706	0.100519	1	0	0	1	0	1465.52	4.67036	img_Car1__0_1698757250133791500.png
Car1	1698757250229	61.1398	-2.11532	-0.722937	0.995253	0.00142777	-0.000891688	0.0973099	1	0	0	1	0	1839.57	4.59524	img_Car1__0_1698757250228181700.png
Car1	1698757250320	61.5669	-2.03135	-0.723045	0.995267	0.000715191	-0.00073555	0.0971688	1	-1	0	1	0	2224.84	4.63566	img_Car1__0_1698757250319511600.png
Car1	1698757250413	61.9864	-1.9561	-0.723058	0.995542	0.00066904	-0.000327934	0.0943196	1	0	0	1	0	2553.81	4.74884	img_Car1__0_1698757250412224700.png
Car1	1698757250507	62.4214	-1.87476	-0.723208	0.995612	0.000319488	9.97133e-05	0.0935747	1	0	0	1	0	2857.86	4.90921	img_Car1__0_1698757250507323700.png
Car1	1698757250602	62.8768	-1.78853	-0.723319	0.995616	7.5113e-05	0.00049653	0.0935376	1	0	0	1	0	3143.91	5.10081	img_Car1__0_1698757250602158900.png
